%
%
% Run:wwm   Table:BUOYS             SWAN version:41.51
%
%       Hsig          Tm01          Tm02          Dspr          Dir           RTpeak        TPsmoo        Dist          Depth         Botlev      X-Windv       Y-Windv         Watlev   
%       [m]           [sec]         [sec]         [degr]        [degr]        [sec]         [sec]         [m]           [m]           [m]           [m/s]         [m/s]         [m]      
%
      0.10371        0.9139        0.7909       19.8374       312.464        1.1999        1.1866       114031.        1.5000        1.0000        1.5473       -3.7544        0.5000 
      0.10551        0.9195        0.7961       20.7594       304.614        1.1999        1.1878       114099.        1.5000        1.0000        1.5447       -3.7540        0.5000 
      0.10527        0.9281        0.8043       20.7432       307.582        1.1999        1.1945       114156.        1.5000        1.0000        1.5482       -3.7533        0.5000 
      1.35591        7.9631        5.7307       27.5854       271.720       20.2338       19.3203       122532.        4.3996        3.8996        2.6575       -5.5481        0.5000 
      1.34896        7.9149        5.6632       28.2819       272.307       20.2338       19.3192       122599.        4.7998        4.2998        2.6739       -5.5847        0.5000 
      1.36859        7.9325        5.6941       28.2569       273.189       20.2338       19.3191       122657.        4.5000        4.0000        2.6698       -5.5694        0.5000 
      1.79220        8.2885        6.6102       19.4351       219.380       18.4714       18.7025            0.        3.1959        2.6959        2.6664       -3.3662        0.5000 
      1.83159        8.4231        6.7352       24.9799       223.740       18.4714       18.7042           64.        3.5038        3.0038        2.6766       -3.3734        0.5000 
      1.56817        8.3253        6.5784       32.2848       235.469       18.4714       18.7189          110.        2.1989        1.6989        2.6785       -3.3820        0.5000 
      1.74647        8.3075        6.6148       25.5111       235.634       18.4714       18.7088          166.        3.1985        2.6985        2.6862       -3.3842        0.5000 
      2.44311        8.4452        6.4494       22.3251       232.849       18.4714       19.1851        69765.        9.4982        8.9982        3.4658       -6.8510        0.5000 
      2.44593        8.7602        6.7455       18.8495       231.227       18.4714       19.1995        69937.        6.5012        6.0012        3.4588       -6.8354        0.5000 
      2.51390        8.7531        6.7165       22.3001       230.200       18.4714       19.1947        70077.        7.2997        6.7997        3.4790       -6.8656        0.5000 
      0.11730        1.0014        0.8735       21.9292       313.341        1.1999        1.2288       114031.        1.5000        1.0000        1.6553       -3.0411        0.5000 
      0.11364        1.0147        0.8873       22.3083       303.757        1.1999        1.2449       114099.        1.5000        1.0000        1.6515       -3.0384        0.5000 
      0.12035        0.9991        0.8710       23.0575       308.460        1.1999        1.2357       114156.        1.5000        1.0000        1.6553       -3.0385        0.5000 
      1.35138        7.8675        5.6600       27.5993       271.601       18.4714       19.2034       122532.        4.3996        3.8996        2.9355       -4.9299        0.5000 
      1.34464        7.8184        5.6087       28.2877       272.183       18.4714       19.2014       122599.        4.7998        4.2998        2.9526       -4.9645        0.5000 
      1.36415        7.8365        5.6253       28.2585       273.066       18.4714       19.1997       122657.        4.5000        4.0000        2.9489       -4.9509        0.5000 
      1.78802        8.2659        6.6004       19.4525       219.449       18.4714       18.6433            0.        3.1959        2.6959        2.6885       -2.4954        0.5000 
